ring_id,ring_size,generator_kinds,generator_anchor_count,digest
0,6,even_shortest_path_pair,6,1ff08deac7bcbe2b35afaa3d7a5d853f67892942d9f505d432f6077076112510
1,8,even_shortest_path_pair,8,2f524b0306813a3d779736f9c524446ffd0b50a99d73cbd40d8c462e58d14f0e
2,6,even_shortest_path_pair,6,863a452fe96f088328774f06ecdf95842df19bab29e5345b3edf9629809d43cf
3,4,even_shortest_path_pair,4,c2ae1e6f6e3caab28887deda2843422f11fd86c84f4e8f5adf939a962bdcd9e7
4,6,even_shortest_path_pair,6,b6a378a9fe2eadbb846fd2cd4b024ee7fb720b6c8ba62767df366c3c6cc9acb7
5,6,even_shortest_path_pair,6,5fb3b7984e19df92b9b23e2931e0de6e246c33bd5a63cd54eb23e32534d598b1
6,4,even_shortest_path_pair,4,de70185f44c196e17e01c94590e530817f962381b273f5f4afd9efca6c65d584
7,4,even_shortest_path_pair,4,f254d43c9efd9d4af392199766e7d5f8e995241bd1b86f3232c54f97cb002e37
8,6,even_shortest_path_pair,6,49f10b895ebb94cf1b045830ed176ae07bbb25eeb956f7f46d13b2f267d0d61d
9,6,even_shortest_path_pair,6,474816790c879bf1fda781f1c298774907a027b4fb75d913c6f3df759628ee0a
10,8,even_shortest_path_pair,8,3f27467c7a50fd8ae9d68aee3f93a77287d4ef4ab8bf9f37dd18f79dd7ab6064
11,6,even_shortest_path_pair,6,0305e846105426a86f9d9070de0ca7763f77ace9e84a086deceeec8ba9abc291
12,4,even_shortest_path_pair,4,3001236b5ce146044e5d146b50867477c087bf8c1541a1dec6e1648baae425b0
13,4,even_shortest_path_pair,4,8e5800f372c097ddbf8fa3083077a8cba048eaf8a62a73ceeb8d240a0ddb3ee3
14,6,even_shortest_path_pair,6,30ec65111d8f7b6dd3340e06ec26faf589b725932abf445a8a73a399ba6ce001
15,8,even_shortest_path_pair,8,96bd652eaf7bff45d68513c0f802e3921dfab8e23c2a84fe9668e1a1a28b7ed0
16,6,even_shortest_path_pair,6,f6288cb95799664a23921aa7dd00a5fa4bdc5c1de6aa104da417cc8bc386acf6
17,4,even_shortest_path_pair,4,c10da06c2cda747ed178c242186093e663fc34d79b69edd7a0ad11f3507672cd
18,6,even_shortest_path_pair,6,ebec2c6001c0ab7c2fdb92f852aef7c3b11631e42fe42801c3377806eeeec210
19,4,even_shortest_path_pair,4,f864fc601d07344657b76297bf64941a84319b6d9830fd0a8d71643e36f2e52c
20,6,even_shortest_path_pair,6,78e71d11db77330dc0bce9ad6d024009254e56e36b644e9cae32fd17c73fd379
