source_atom_index,maximum_depth,complete_through_depth,visited_lifted_state_count,target_state_count,predecessor_record_count,truncated
0,4,4,59,58,84,False
1,4,4,59,58,84,False
2,4,4,59,58,84,False
3,4,4,59,58,84,False
4,4,4,59,58,84,False
5,4,4,59,58,84,False
6,4,4,59,58,84,False
7,4,4,59,58,84,False
8,4,4,59,58,84,False
9,4,4,59,58,84,False
10,4,4,59,58,84,False
11,4,4,59,58,84,False
12,4,4,59,58,84,False
13,4,4,59,58,84,False
14,4,4,59,58,84,False
15,4,4,59,58,84,False
16,4,4,59,58,84,False
17,4,4,59,58,84,False
18,4,4,59,58,84,False
19,4,4,59,58,84,False
20,4,4,59,58,84,False
21,4,4,59,58,84,False
22,4,4,59,58,84,False
23,4,4,59,58,84,False
24,4,4,59,58,84,False
25,4,4,59,58,84,False
26,4,4,59,58,84,False
27,4,4,59,58,84,False
28,4,4,59,58,84,False
29,4,4,59,58,84,False
30,4,4,59,58,84,False
31,4,4,59,58,84,False
32,4,4,59,58,84,False
33,4,4,59,58,84,False
34,4,4,59,58,84,False
35,4,4,59,58,84,False
36,4,4,59,58,84,False
37,4,4,59,58,84,False
38,4,4,59,58,84,False
39,4,4,59,58,84,False
40,4,4,59,58,84,False
41,4,4,59,58,84,False
42,4,4,59,58,84,False
43,4,4,59,58,84,False
44,4,4,59,58,84,False
45,4,4,59,58,84,False
46,4,4,59,58,84,False
47,4,4,59,58,84,False
