state_id,frame_count,probability,first_result_position,last_result_position,visit_count
0,15,0.0075,1985,1999,1
1,50,0.025,1441,1490,1
2,2,0.001,1439,1440,1
3,8,0.004,1431,1438,1
4,65,0.0325,1225,1289,1
5,25,0.0125,1290,1314,1
6,26,0.013,1508,1533,1
7,17,0.0085,1491,1507,1
8,48,0.024,1383,1430,1
9,29,0.0145,1354,1382,1
10,2,0.001,1352,1353,1
11,37,0.0185,1315,1351,1
12,97,0.0485,1753,1849,1
13,11,0.0055,1864,1874,1
14,14,0.007,1850,1863,1
15,47,0.0235,1178,1224,1
16,12,0.006,1741,1752,1
17,13,0.0065,1061,1073,1
18,6,0.003,1172,1177,1
19,41,0.0205,1131,1171,1
20,57,0.0285,1074,1130,1
21,10,0.005,1051,1060,1
22,101,0.0505,903,1003,1
23,2,0.001,901,902,1
24,22,0.011,1029,1050,1
25,25,0.0125,1004,1028,1
26,44,0.022,820,863,1
27,26,0.013,864,889,1
28,11,0.0055,890,900,1
29,31,0.0155,1534,1564,1
30,11,0.0055,1565,1575,1
31,20,0.01,1908,1927,1
32,29,0.0145,1928,1956,1
33,28,0.014,1957,1984,1
34,33,0.0165,1875,1907,1
35,46,0.023,1608,1653,1
36,29,0.0145,1712,1740,1
37,58,0.029,1654,1711,1
38,11,0.0055,1576,1586,1
39,21,0.0105,1587,1607,1
40,24,0.012,758,781,1
41,33,0.0165,715,747,1
42,10,0.005,748,757,1
43,3,0.0015,712,714,1
44,1,0.0005,782,782,1
45,24,0.012,783,806,1
46,12,0.006,807,818,1
47,1,0.0005,819,819,1
48,7,0.0035,301,307,1
49,68,0.034,308,375,1
50,45,0.0225,256,300,1
51,46,0.023,210,255,1
52,41,0.0205,606,646,1
53,9,0.0045,597,605,1
54,36,0.018,647,682,1
55,1,0.0005,683,683,1
56,15,0.0075,526,540,1
57,56,0.028,541,596,1
58,18,0.009,500,517,1
59,2,0.001,518,519,1
60,6,0.003,520,525,1
61,86,0.043,410,495,1
62,34,0.017,376,409,1
63,4,0.002,496,499,1
64,2,0.001,684,685,1
65,26,0.013,686,711,1
66,16,0.008,194,209,1
67,13,0.0065,181,193,1
68,87,0.0435,94,180,1
69,39,0.0195,55,93,1
70,15,0.0075,40,54,1
71,40,0.02,0,39,1
