species_pair,atom_i,atom_j,frame_count,probability
O-Na,48,165,2000,1.0
O-Na,50,162,1180,0.59
O-Na,51,164,2000,1.0
O-Na,53,167,2000,1.0
O-Na,54,145,2000,1.0
O-Na,55,167,1288,0.644
O-Na,56,166,15,0.0075
O-Na,57,144,2000,1.0
O-Na,59,164,1790,0.895
O-Na,61,165,2000,1.0
O-Na,62,166,1668,0.834
O-Na,63,167,783,0.3915
O-Na,64,163,2000,1.0
O-Na,65,144,2000,1.0
O-Na,66,162,2000,1.0
O-Na,68,163,1819,0.9095
O-Na,69,145,2000,1.0
O-Na,69,162,782,0.391
O-Na,70,166,2000,1.0
O-Na,72,146,351,0.1755
O-Na,72,150,2000,1.0
O-Na,72,165,490,0.245
O-Na,73,149,2000,1.0
O-Na,73,152,1285,0.6425
O-Na,73,163,376,0.188
O-Na,74,149,2000,1.0
O-Na,74,151,1099,0.5495
O-Na,74,162,1500,0.75
O-Na,75,149,1232,0.616
O-Na,75,153,1474,0.737
O-Na,75,164,767,0.3835
O-Na,76,157,2000,1.0
O-Na,76,161,2000,1.0
O-Na,77,157,1097,0.5485
O-Na,77,160,1282,0.641
O-Na,77,167,2000,1.0
O-Na,78,157,2000,1.0
O-Na,79,151,1953,0.9765
O-Na,79,154,2000,1.0
O-Na,79,167,1242,0.621
O-Na,80,152,2000,1.0
O-Na,80,156,1208,0.604
O-Na,81,153,1140,0.57
O-Na,81,155,2000,1.0
O-Na,82,148,1494,0.747
O-Na,82,160,2000,1.0
O-Na,82,162,136,0.068
O-Na,83,147,2000,1.0
O-Na,83,161,1410,0.705
O-Na,83,164,2000,1.0
O-Na,84,146,2000,1.0
O-Na,84,159,2000,1.0
O-Na,85,152,2000,1.0
O-Na,85,154,2000,1.0
O-Na,85,165,2000,1.0
O-Na,86,151,2000,1.0
O-Na,86,155,1552,0.776
O-Na,86,166,2000,1.0
O-Na,87,153,2000,1.0
O-Na,87,156,2000,1.0
O-Na,88,148,1960,0.98
O-Na,88,161,2000,1.0
O-Na,88,163,2000,1.0
O-Na,89,146,2000,1.0
O-Na,89,160,1593,0.7965
O-Na,90,147,2000,1.0
O-Na,90,159,2000,1.0
O-Na,90,162,864,0.432
O-Na,91,154,1049,0.5245
O-Na,91,158,2000,1.0
O-Na,92,155,2000,1.0
O-Na,92,158,943,0.4715
O-Na,92,163,828,0.414
O-Na,93,156,2000,1.0
O-Na,93,158,1394,0.697
O-Na,94,148,1744,0.872
O-Na,94,150,204,0.102
O-Na,94,166,1334,0.667
O-Na,95,147,1421,0.7105
O-Na,95,150,2000,1.0
O-Na,96,146,2000,1.0
O-Na,97,152,2000,1.0
O-Na,98,151,2000,1.0
O-Na,99,153,2000,1.0
O-Na,100,161,2000,1.0
O-Na,101,160,2000,1.0
O-Na,102,145,2000,1.0
O-Na,102,159,2000,1.0
O-Na,103,149,2000,1.0
O-Na,104,149,2000,1.0
