interval_id,state_id,result_position_start,result_position_stop,n_frames,time_start,time_stop,time_span
0,71,0,40,40,0.0,0.039,0.039
1,70,40,55,15,0.04,0.054,0.013999999999999999
2,69,55,94,39,0.055,0.093,0.038
3,68,94,181,87,0.094,0.18,0.086
4,67,181,194,13,0.181,0.193,0.01200000000000001
5,66,194,210,16,0.194,0.209,0.014999999999999986
6,51,210,256,46,0.21,0.255,0.04500000000000001
7,50,256,301,45,0.256,0.3,0.043999999999999984
8,48,301,308,7,0.301,0.307,0.006000000000000005
9,49,308,376,68,0.308,0.375,0.067
10,62,376,410,34,0.376,0.40900000000000003,0.03300000000000003
11,61,410,496,86,0.41000000000000003,0.495,0.08499999999999996
12,63,496,500,4,0.496,0.499,0.0030000000000000027
13,58,500,518,18,0.5,0.517,0.017000000000000015
14,59,518,520,2,0.518,0.519,0.0010000000000000009
15,60,520,526,6,0.52,0.525,0.0050000000000000044
16,56,526,541,15,0.526,0.54,0.014000000000000012
17,57,541,597,56,0.541,0.596,0.05499999999999994
18,53,597,606,9,0.597,0.605,0.008000000000000007
19,52,606,647,41,0.606,0.646,0.040000000000000036
20,54,647,683,36,0.647,0.682,0.03500000000000003
21,55,683,684,1,0.683,0.683,0.0
22,64,684,686,2,0.684,0.685,0.0010000000000000009
23,65,686,712,26,0.686,0.711,0.02499999999999991
24,43,712,715,3,0.712,0.714,0.0020000000000000018
25,41,715,748,33,0.715,0.747,0.03200000000000003
26,42,748,758,10,0.748,0.757,0.009000000000000008
27,40,758,782,24,0.758,0.781,0.02300000000000002
28,44,782,783,1,0.782,0.782,0.0
29,45,783,807,24,0.783,0.806,0.02300000000000002
30,46,807,819,12,0.807,0.8180000000000001,0.01100000000000001
31,47,819,820,1,0.8190000000000001,0.8190000000000001,0.0
32,26,820,864,44,0.8200000000000001,0.863,0.04299999999999993
33,27,864,890,26,0.864,0.889,0.025000000000000022
34,28,890,901,11,0.89,0.9,0.010000000000000009
35,23,901,903,2,0.901,0.902,0.0010000000000000009
36,22,903,1004,101,0.903,1.0030000000000001,0.10000000000000009
37,25,1004,1029,25,1.004,1.028,0.02400000000000002
38,24,1029,1051,22,1.029,1.05,0.02100000000000013
39,21,1051,1061,10,1.051,1.06,0.009000000000000119
40,17,1061,1074,13,1.061,1.073,0.01200000000000001
41,20,1074,1131,57,1.074,1.1300000000000001,0.05600000000000005
42,19,1131,1172,41,1.131,1.171,0.040000000000000036
43,18,1172,1178,6,1.172,1.177,0.0050000000000001155
44,15,1178,1225,47,1.178,1.224,0.04600000000000004
45,4,1225,1290,65,1.225,1.289,0.06399999999999983
46,5,1290,1315,25,1.29,1.314,0.02400000000000002
47,11,1315,1352,37,1.315,1.351,0.03600000000000003
48,10,1352,1354,2,1.352,1.353,0.0009999999999998899
49,9,1354,1383,29,1.354,1.3820000000000001,0.028000000000000025
50,8,1383,1431,48,1.383,1.43,0.04699999999999993
51,3,1431,1439,8,1.431,1.438,0.006999999999999895
52,2,1439,1441,2,1.439,1.44,0.0009999999999998899
53,1,1441,1491,50,1.441,1.49,0.04899999999999993
54,7,1491,1508,17,1.491,1.5070000000000001,0.016000000000000014
55,6,1508,1534,26,1.508,1.5330000000000001,0.025000000000000133
56,29,1534,1565,31,1.534,1.564,0.030000000000000027
57,30,1565,1576,11,1.565,1.575,0.010000000000000009
58,38,1576,1587,11,1.576,1.586,0.010000000000000009
59,39,1587,1608,21,1.587,1.607,0.020000000000000018
60,35,1608,1654,46,1.608,1.653,0.04499999999999993
61,37,1654,1712,58,1.6540000000000001,1.711,0.05699999999999994
62,36,1712,1741,29,1.712,1.74,0.028000000000000025
63,16,1741,1753,12,1.741,1.752,0.010999999999999899
64,12,1753,1850,97,1.7530000000000001,1.849,0.09599999999999986
65,14,1850,1864,14,1.85,1.863,0.0129999999999999
66,13,1864,1875,11,1.864,1.874,0.010000000000000009
67,34,1875,1908,33,1.875,1.907,0.03200000000000003
68,31,1908,1928,20,1.9080000000000001,1.927,0.018999999999999906
69,32,1928,1957,29,1.928,1.956,0.028000000000000025
70,33,1957,1985,28,1.957,1.984,0.026999999999999913
71,0,1985,2000,15,1.985,1.999,0.014000000000000012
