transition_id,result_position_before,result_position_after,source_state_id,target_state_id,step_after,time_after
0,39,40,71,70,40,0.04
1,54,55,70,69,55,0.055
2,93,94,69,68,94,0.094
3,180,181,68,67,181,0.181
4,193,194,67,66,194,0.194
5,209,210,66,51,210,0.21
6,255,256,51,50,256,0.256
7,300,301,50,48,301,0.301
8,307,308,48,49,308,0.308
9,375,376,49,62,376,0.376
10,409,410,62,61,410,0.41000000000000003
11,495,496,61,63,496,0.496
12,499,500,63,58,500,0.5
13,517,518,58,59,518,0.518
14,519,520,59,60,520,0.52
15,525,526,60,56,526,0.526
16,540,541,56,57,541,0.541
17,596,597,57,53,597,0.597
18,605,606,53,52,606,0.606
19,646,647,52,54,647,0.647
20,682,683,54,55,683,0.683
21,683,684,55,64,684,0.684
22,685,686,64,65,686,0.686
23,711,712,65,43,712,0.712
24,714,715,43,41,715,0.715
25,747,748,41,42,748,0.748
26,757,758,42,40,758,0.758
27,781,782,40,44,782,0.782
28,782,783,44,45,783,0.783
29,806,807,45,46,807,0.807
30,818,819,46,47,819,0.8190000000000001
31,819,820,47,26,820,0.8200000000000001
32,863,864,26,27,864,0.864
33,889,890,27,28,890,0.89
34,900,901,28,23,901,0.901
35,902,903,23,22,903,0.903
36,1003,1004,22,25,1004,1.004
37,1028,1029,25,24,1029,1.029
38,1050,1051,24,21,1051,1.051
39,1060,1061,21,17,1061,1.061
40,1073,1074,17,20,1074,1.074
41,1130,1131,20,19,1131,1.131
42,1171,1172,19,18,1172,1.172
43,1177,1178,18,15,1178,1.178
44,1224,1225,15,4,1225,1.225
45,1289,1290,4,5,1290,1.29
46,1314,1315,5,11,1315,1.315
47,1351,1352,11,10,1352,1.352
48,1353,1354,10,9,1354,1.354
49,1382,1383,9,8,1383,1.383
50,1430,1431,8,3,1431,1.431
51,1438,1439,3,2,1439,1.439
52,1440,1441,2,1,1441,1.441
53,1490,1491,1,7,1491,1.491
54,1507,1508,7,6,1508,1.508
55,1533,1534,6,29,1534,1.534
56,1564,1565,29,30,1565,1.565
57,1575,1576,30,38,1576,1.576
58,1586,1587,38,39,1587,1.587
59,1607,1608,39,35,1608,1.608
60,1653,1654,35,37,1654,1.6540000000000001
61,1711,1712,37,36,1712,1.712
62,1740,1741,36,16,1741,1.741
63,1752,1753,16,12,1753,1.7530000000000001
64,1849,1850,12,14,1850,1.85
65,1863,1864,14,13,1864,1.864
66,1874,1875,13,34,1875,1.875
67,1907,1908,34,31,1908,1.9080000000000001
68,1927,1928,31,32,1928,1.928
69,1956,1957,32,33,1957,1.957
70,1984,1985,33,0,1985,1.985
