result_position,atomic_state_id,framework_class_id
0,71,0
1,71,0
2,71,0
3,71,0
4,71,0
5,71,0
6,71,0
7,71,0
8,71,0
9,71,0
10,71,0
11,71,0
12,71,0
13,71,0
14,71,0
15,71,0
16,71,0
17,71,0
18,71,0
19,71,0
20,71,0
21,71,0
22,71,0
23,71,0
24,71,0
25,71,0
26,71,0
27,71,0
28,71,0
29,71,0
30,71,0
31,71,0
32,71,0
33,71,0
34,71,0
35,71,0
36,71,0
37,71,0
38,71,0
39,71,0
40,70,0
41,70,0
42,70,0
43,70,0
44,70,0
45,70,0
46,70,0
47,70,0
48,70,0
49,70,0
50,70,0
51,70,0
52,70,0
53,70,0
54,70,0
55,69,0
56,69,0
57,69,0
58,69,0
59,69,0
60,69,0
61,69,0
62,69,0
63,69,0
64,69,0
65,69,0
66,69,0
67,69,0
68,69,0
69,69,0
70,69,0
71,69,0
72,69,0
73,69,0
74,69,0
75,69,0
76,69,0
77,69,0
78,69,0
79,69,0
80,69,0
81,69,0
82,69,0
83,69,0
84,69,0
85,69,0
86,69,0
87,69,0
88,69,0
89,69,0
90,69,0
91,69,0
92,69,0
93,69,0
94,68,0
95,68,0
96,68,0
97,68,0
98,68,0
99,68,0
100,68,0
101,68,0
102,68,0
103,68,0
104,68,0
105,68,0
106,68,0
107,68,0
108,68,0
109,68,0
110,68,0
111,68,0
112,68,0
113,68,0
114,68,0
115,68,0
116,68,0
117,68,0
118,68,0
119,68,0
120,68,0
121,68,0
122,68,0
123,68,0
124,68,0
125,68,0
126,68,0
127,68,0
128,68,0
129,68,0
130,68,0
131,68,0
132,68,0
133,68,0
134,68,0
135,68,0
136,68,0
137,68,0
138,68,0
139,68,0
140,68,0
141,68,0
142,68,0
143,68,0
144,68,0
145,68,0
146,68,0
147,68,0
148,68,0
149,68,0
150,68,0
151,68,0
152,68,0
153,68,0
154,68,0
155,68,0
156,68,0
157,68,0
158,68,0
159,68,0
160,68,0
161,68,0
162,68,0
163,68,0
164,68,0
165,68,0
166,68,0
167,68,0
168,68,0
169,68,0
170,68,0
171,68,0
172,68,0
173,68,0
174,68,0
175,68,0
176,68,0
177,68,0
178,68,0
179,68,0
180,68,0
181,67,0
182,67,0
183,67,0
184,67,0
185,67,0
186,67,0
187,67,0
188,67,0
189,67,0
190,67,0
191,67,0
192,67,0
193,67,0
194,66,0
195,66,0
196,66,0
197,66,0
198,66,0
199,66,0
200,66,0
