result_position_before,result_position_after,kind
0,1,stable
1,2,stable
2,3,stable
3,4,stable
4,5,stable
5,6,stable
6,7,stable
7,8,stable
8,9,stable
9,10,stable
10,11,stable
11,12,stable
12,13,stable
13,14,stable
14,15,stable
15,16,stable
16,17,stable
17,18,stable
18,19,stable
19,20,stable
20,21,stable
21,22,stable
22,23,stable
23,24,stable
24,25,stable
25,26,stable
26,27,stable
27,28,stable
28,29,stable
29,30,stable
30,31,stable
31,32,stable
32,33,stable
33,34,stable
34,35,stable
35,36,stable
36,37,stable
37,38,stable
38,39,stable
39,40,atomic_only
40,41,stable
41,42,stable
42,43,stable
43,44,stable
44,45,stable
45,46,stable
46,47,stable
47,48,stable
48,49,stable
49,50,stable
50,51,stable
51,52,stable
52,53,stable
53,54,stable
54,55,atomic_only
55,56,stable
56,57,stable
57,58,stable
58,59,stable
59,60,stable
60,61,stable
61,62,stable
62,63,stable
63,64,stable
64,65,stable
65,66,stable
66,67,stable
67,68,stable
68,69,stable
69,70,stable
70,71,stable
71,72,stable
72,73,stable
73,74,stable
74,75,stable
75,76,stable
76,77,stable
77,78,stable
78,79,stable
79,80,stable
80,81,stable
81,82,stable
82,83,stable
83,84,stable
84,85,stable
85,86,stable
86,87,stable
87,88,stable
88,89,stable
89,90,stable
90,91,stable
91,92,stable
92,93,stable
93,94,atomic_only
94,95,stable
95,96,stable
96,97,stable
97,98,stable
98,99,stable
99,100,stable
100,101,stable
101,102,stable
102,103,stable
103,104,stable
104,105,stable
105,106,stable
106,107,stable
107,108,stable
108,109,stable
109,110,stable
110,111,stable
111,112,stable
112,113,stable
113,114,stable
114,115,stable
115,116,stable
116,117,stable
117,118,stable
118,119,stable
119,120,stable
120,121,stable
121,122,stable
122,123,stable
123,124,stable
124,125,stable
125,126,stable
126,127,stable
127,128,stable
128,129,stable
129,130,stable
130,131,stable
131,132,stable
132,133,stable
133,134,stable
134,135,stable
135,136,stable
136,137,stable
137,138,stable
138,139,stable
139,140,stable
140,141,stable
141,142,stable
142,143,stable
143,144,stable
144,145,stable
145,146,stable
146,147,stable
147,148,stable
148,149,stable
149,150,stable
150,151,stable
151,152,stable
152,153,stable
153,154,stable
154,155,stable
155,156,stable
156,157,stable
157,158,stable
158,159,stable
159,160,stable
160,161,stable
161,162,stable
162,163,stable
163,164,stable
164,165,stable
165,166,stable
166,167,stable
167,168,stable
168,169,stable
169,170,stable
170,171,stable
171,172,stable
172,173,stable
173,174,stable
174,175,stable
175,176,stable
176,177,stable
177,178,stable
178,179,stable
179,180,stable
180,181,atomic_only
181,182,stable
182,183,stable
183,184,stable
184,185,stable
185,186,stable
186,187,stable
187,188,stable
188,189,stable
189,190,stable
190,191,stable
191,192,stable
192,193,stable
193,194,atomic_only
194,195,stable
195,196,stable
196,197,stable
197,198,stable
198,199,stable
199,200,stable
200,201,stable
201,202,stable
202,203,stable
203,204,stable
204,205,stable
205,206,stable
206,207,stable
207,208,stable
208,209,stable
209,210,atomic_only
210,211,stable
211,212,stable
212,213,stable
213,214,stable
214,215,stable
215,216,stable
216,217,stable
217,218,stable
218,219,stable
219,220,stable
220,221,stable
221,222,stable
222,223,stable
223,224,stable
224,225,stable
225,226,stable
226,227,stable
227,228,stable
228,229,stable
229,230,stable
230,231,stable
231,232,stable
232,233,stable
233,234,stable
234,235,stable
235,236,stable
236,237,stable
237,238,stable
238,239,stable
239,240,stable
240,241,stable
241,242,stable
242,243,stable
243,244,stable
244,245,stable
245,246,stable
246,247,stable
247,248,stable
248,249,stable
249,250,stable
250,251,stable
251,252,stable
252,253,stable
253,254,stable
254,255,stable
255,256,atomic_only
256,257,stable
257,258,stable
258,259,stable
259,260,stable
260,261,stable
261,262,stable
262,263,stable
263,264,stable
264,265,stable
265,266,stable
266,267,stable
267,268,stable
268,269,stable
269,270,stable
270,271,stable
271,272,stable
272,273,stable
273,274,stable
274,275,stable
275,276,stable
276,277,stable
277,278,stable
278,279,stable
279,280,stable
280,281,stable
281,282,stable
282,283,stable
283,284,stable
284,285,stable
285,286,stable
286,287,stable
287,288,stable
288,289,stable
289,290,stable
290,291,stable
291,292,stable
292,293,stable
293,294,stable
294,295,stable
295,296,stable
296,297,stable
297,298,stable
298,299,stable
299,300,stable
300,301,atomic_only
301,302,stable
302,303,stable
303,304,stable
304,305,stable
305,306,stable
306,307,stable
307,308,atomic_only
308,309,stable
309,310,stable
310,311,stable
311,312,stable
312,313,stable
313,314,stable
314,315,stable
315,316,stable
316,317,stable
317,318,stable
318,319,stable
319,320,stable
320,321,stable
321,322,stable
322,323,stable
323,324,stable
324,325,stable
325,326,stable
326,327,stable
327,328,stable
328,329,stable
329,330,stable
330,331,stable
331,332,stable
332,333,stable
333,334,stable
334,335,stable
335,336,stable
336,337,stable
337,338,stable
338,339,stable
339,340,stable
340,341,stable
341,342,stable
342,343,stable
343,344,stable
344,345,stable
345,346,stable
346,347,stable
347,348,stable
348,349,stable
349,350,stable
350,351,stable
351,352,stable
352,353,stable
353,354,stable
354,355,stable
355,356,stable
356,357,stable
357,358,stable
358,359,stable
359,360,stable
360,361,stable
361,362,stable
362,363,stable
363,364,stable
364,365,stable
365,366,stable
366,367,stable
367,368,stable
368,369,stable
369,370,stable
370,371,stable
371,372,stable
372,373,stable
373,374,stable
374,375,stable
375,376,atomic_only
376,377,stable
377,378,stable
378,379,stable
379,380,stable
380,381,stable
381,382,stable
382,383,stable
383,384,stable
384,385,stable
385,386,stable
386,387,stable
387,388,stable
388,389,stable
389,390,stable
390,391,stable
391,392,stable
392,393,stable
393,394,stable
394,395,stable
395,396,stable
396,397,stable
397,398,stable
398,399,stable
399,400,stable
400,401,stable
401,402,stable
402,403,stable
403,404,stable
404,405,stable
405,406,stable
406,407,stable
407,408,stable
408,409,stable
409,410,atomic_only
410,411,stable
411,412,stable
412,413,stable
413,414,stable
414,415,stable
415,416,stable
416,417,stable
417,418,stable
418,419,stable
419,420,stable
420,421,stable
421,422,stable
422,423,stable
423,424,stable
424,425,stable
425,426,stable
426,427,stable
427,428,stable
428,429,stable
429,430,stable
430,431,stable
431,432,stable
432,433,stable
433,434,stable
434,435,stable
435,436,stable
436,437,stable
437,438,stable
438,439,stable
439,440,stable
440,441,stable
441,442,stable
442,443,stable
443,444,stable
444,445,stable
445,446,stable
446,447,stable
447,448,stable
448,449,stable
449,450,stable
450,451,stable
451,452,stable
452,453,stable
453,454,stable
454,455,stable
455,456,stable
456,457,stable
457,458,stable
458,459,stable
459,460,stable
460,461,stable
461,462,stable
462,463,stable
463,464,stable
464,465,stable
465,466,stable
466,467,stable
467,468,stable
468,469,stable
469,470,stable
470,471,stable
471,472,stable
472,473,stable
473,474,stable
474,475,stable
475,476,stable
476,477,stable
477,478,stable
478,479,stable
479,480,stable
480,481,stable
481,482,stable
482,483,stable
483,484,stable
484,485,stable
485,486,stable
486,487,stable
487,488,stable
488,489,stable
489,490,stable
490,491,stable
491,492,stable
492,493,stable
493,494,stable
494,495,stable
495,496,atomic_only
496,497,stable
497,498,stable
498,499,stable
499,500,atomic_only
500,501,stable
501,502,stable
502,503,stable
503,504,stable
504,505,stable
505,506,stable
506,507,stable
507,508,stable
508,509,stable
509,510,stable
510,511,stable
511,512,stable
512,513,stable
513,514,stable
514,515,stable
515,516,stable
516,517,stable
517,518,atomic_only
518,519,stable
519,520,atomic_only
520,521,stable
521,522,stable
522,523,stable
523,524,stable
524,525,stable
525,526,atomic_only
526,527,stable
527,528,stable
528,529,stable
529,530,stable
530,531,stable
531,532,stable
532,533,stable
533,534,stable
534,535,stable
535,536,stable
536,537,stable
537,538,stable
538,539,stable
539,540,stable
540,541,atomic_only
541,542,stable
542,543,stable
543,544,stable
544,545,stable
545,546,stable
546,547,stable
547,548,stable
548,549,stable
549,550,stable
550,551,stable
551,552,stable
552,553,stable
553,554,stable
554,555,stable
555,556,stable
556,557,stable
557,558,stable
558,559,stable
559,560,stable
560,561,stable
561,562,stable
562,563,stable
563,564,stable
564,565,stable
565,566,stable
566,567,stable
567,568,stable
568,569,stable
569,570,stable
570,571,stable
571,572,stable
572,573,stable
573,574,stable
574,575,stable
575,576,stable
576,577,stable
577,578,stable
578,579,stable
579,580,stable
580,581,stable
581,582,stable
582,583,stable
583,584,stable
584,585,stable
585,586,stable
586,587,stable
587,588,stable
588,589,stable
589,590,stable
590,591,stable
591,592,stable
592,593,stable
593,594,stable
594,595,stable
595,596,stable
596,597,atomic_only
597,598,stable
598,599,stable
599,600,stable
600,601,stable
601,602,stable
602,603,stable
603,604,stable
604,605,stable
605,606,atomic_only
606,607,stable
607,608,stable
608,609,stable
609,610,stable
610,611,stable
611,612,stable
612,613,stable
613,614,stable
614,615,stable
615,616,stable
616,617,stable
617,618,stable
618,619,stable
619,620,stable
620,621,stable
621,622,stable
622,623,stable
623,624,stable
624,625,stable
625,626,stable
626,627,stable
627,628,stable
628,629,stable
629,630,stable
630,631,stable
631,632,stable
632,633,stable
633,634,stable
634,635,stable
635,636,stable
636,637,stable
637,638,stable
638,639,stable
639,640,stable
640,641,stable
641,642,stable
642,643,stable
643,644,stable
644,645,stable
645,646,stable
646,647,atomic_only
647,648,stable
648,649,stable
649,650,stable
650,651,stable
651,652,stable
652,653,stable
653,654,stable
654,655,stable
655,656,stable
