atomic_state_id,framework_class_id,frame_count,probability
0,0,15,0.0075
1,0,50,0.025
2,0,2,0.001
3,0,8,0.004
4,0,65,0.0325
5,0,25,0.0125
6,0,26,0.013
7,0,17,0.0085
8,0,48,0.024
9,0,29,0.0145
10,0,2,0.001
11,0,37,0.0185
12,0,97,0.0485
13,0,11,0.0055
14,0,14,0.007
15,0,47,0.0235
16,0,12,0.006
17,0,13,0.0065
18,0,6,0.003
19,0,41,0.0205
20,0,57,0.0285
21,0,10,0.005
22,0,101,0.0505
23,0,2,0.001
24,0,22,0.011
25,0,25,0.0125
26,0,44,0.022
27,0,26,0.013
28,0,11,0.0055
29,0,31,0.0155
30,0,11,0.0055
31,0,20,0.01
32,0,29,0.0145
33,0,28,0.014
34,0,33,0.0165
35,0,46,0.023
36,0,29,0.0145
37,0,58,0.029
38,0,11,0.0055
39,0,21,0.0105
40,0,24,0.012
41,0,33,0.0165
42,0,10,0.005
43,0,3,0.0015
44,0,1,0.0005
45,0,24,0.012
46,0,12,0.006
47,0,1,0.0005
48,0,7,0.0035
49,0,68,0.034
50,0,45,0.0225
51,0,46,0.023
52,0,41,0.0205
53,0,9,0.0045
54,0,36,0.018
55,0,1,0.0005
56,0,15,0.0075
57,0,56,0.028
58,0,18,0.009
59,0,2,0.001
60,0,6,0.003
61,0,86,0.043
62,0,34,0.017
63,0,4,0.002
64,0,2,0.001
65,0,26,0.013
66,0,16,0.008
67,0,13,0.0065
68,0,87,0.0435
69,0,39,0.0195
70,0,15,0.0075
71,0,40,0.02
