edge_key_json,frame_count,probability
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[72],""rule_id"":""T-O-T"",""vertex_i"":0,""vertex_j"":24}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[96],""rule_id"":""T-O-T"",""vertex_i"":0,""vertex_j"":36}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[48],""rule_id"":""T-O-T"",""vertex_i"":0,""vertex_j"":37}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[129],""rule_id"":""T-O-T"",""vertex_i"":0,""vertex_j"":47}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[73],""rule_id"":""T-O-T"",""vertex_i"":1,""vertex_j"":25}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[105],""rule_id"":""T-O-T"",""vertex_i"":1,""vertex_j"":26}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[49],""rule_id"":""T-O-T"",""vertex_i"":1,""vertex_j"":36}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[97],""rule_id"":""T-O-T"",""vertex_i"":1,""vertex_j"":37}",2000,1.0
"{""image_shift"":[0,-1,1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[74],""rule_id"":""T-O-T"",""vertex_i"":2,""vertex_j"":26}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,-1]],""internal_linker_indices"":[104],""rule_id"":""T-O-T"",""vertex_i"":2,""vertex_j"":27}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,-1]],""internal_linker_indices"":[50],""rule_id"":""T-O-T"",""vertex_i"":2,""vertex_j"":34}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,-1]],""internal_linker_indices"":[98],""rule_id"":""T-O-T"",""vertex_i"":2,""vertex_j"":38}",2000,1.0
"{""image_shift"":[0,-1,1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[103],""rule_id"":""T-O-T"",""vertex_i"":3,""vertex_j"":25}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,1,-1]],""internal_linker_indices"":[75],""rule_id"":""T-O-T"",""vertex_i"":3,""vertex_j"":27}",2000,1.0
"{""image_shift"":[0,0,1],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[51],""rule_id"":""T-O-T"",""vertex_i"":3,""vertex_j"":35}",2000,1.0
"{""image_shift"":[0,0,1],""internal_linker_image_offsets"":[[0,1,0]],""internal_linker_indices"":[99],""rule_id"":""T-O-T"",""vertex_i"":3,""vertex_j"":39}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[76],""rule_id"":""T-O-T"",""vertex_i"":4,""vertex_j"":28}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[108],""rule_id"":""T-O-T"",""vertex_i"":4,""vertex_j"":29}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[52],""rule_id"":""T-O-T"",""vertex_i"":4,""vertex_j"":33}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[100],""rule_id"":""T-O-T"",""vertex_i"":4,""vertex_j"":40}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[77],""rule_id"":""T-O-T"",""vertex_i"":5,""vertex_j"":29}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,-1]],""internal_linker_indices"":[107],""rule_id"":""T-O-T"",""vertex_i"":5,""vertex_j"":30}",2000,1.0
